번호,오프셋,뱅크,일본어 원문,자동번역(참고),한국어 번역(여기에 입력)
1,0x260001,Bank 152,〇〇さんなにか〇んどた / みたいぢぃたな,사은뭐카은도타 / 미고 싶어디이타나,
2,0x26002D,Bank 152,お〇〇かも〇れないけば / ちぅんと〇いてみるとしよう,오카모레없어케바 / 치우은토이테미루토하자,
3,0x260065,Bank 152,{名前}{名前}ぷぷぴぴぺ,{이름}{이름}푸푸피피페,
4,0x260077,Bank 152,はい〇どす{名前}{名前},네도스{이름}{이름},
5,0x26008B,Bank 152,おはよう〇〇さん / どすけば,좋은 아침사은 / 도스케바,
6,0x2600AF,Bank 152,あさん{名前}{名前},아사은{이름}{이름},
7,0x2600C1,Bank 152,あのさオレばうしても / 〇になぃちぅぃて{名前}{名前},저사나바우시해도 / 니나이치우이테{이름}{이름},
8,0x2600F1,Bank 152,〇みぎあるなら / 〇かせてくれないかな /  / 〇〇さんぎ〇んどいると /  / さみしいよ,미기아루라면 / 카세해줘없어일까 /  / 사은기은도이루토 /  / 외로워요,
9,0x260147,Bank 152,{名前}{名前}ばうしてもイヤ / オレに〇したくない,{이름}{이름}바우시해도이야 / 나니시타않아,
10,0x260175,Bank 152,いえそういうわけどは / ないんどすけば{名前}{名前},이에그래이우와지만하 / 없어은도스케바{이름}{이름},
11,0x2601A3,Bank 152,{名前}{名前}〇かりました / お〇しします /  / ぢけば〇〇どは /  / 〇しにくいのど{名前}{名前},{이름}{이름}카리했습니다 / 오시시합니다 /  / 디케바도하 /  / 시니쿠이노도{이름}{이름},
12,0x2601F3,Bank 152,〇から〇〇に〇て / いたぢけますか,부터니테 / 이타디케할까요,
13,0x260219,Bank 152,あうんいいよ / ずぅあ〇〇〇〇に /  / 〇〇ど{名前}{名前},아응좋아 / 즈우아니 /  / 도{이름}{이름},
14,0x260251,Bank 152,{名前}{名前}ギチゥリ,{이름}{이름}기치우리,
15,0x260261,Bank 152,{名前}{名前}やぃぴり〇んどたのか / 〇〇さんばんなこと /  / なんぢろう{名前}{名前},{이름}{이름}야이피리은도타는 건가 / 사은바은나코토 /  / 나은디로우{이름}{이름},
16,0x2602A7,Bank 152,ざめん〇〇さん〇くなぃて,자메은사은쿠나이테,
17,0x2602C5,Bank 152,いいいえわじわじ〇を / 〇んどもらぃてすみません,이아니요와지와지오 / 은도모라이테스미않습니다,
18,0x2602FD,Bank 152,それど〇〇なんぢけば{名前}{名前} / 〇かせてくぢさい,그것도나은디케바{이름}{이름} / 카세테쿠디사이,
